<title>白馬城</title>,<text>落日登高望。偏傷遠客情。天低滄海濶。城入白雲平。地僻人稀到。山深鳥不鳴。蕭條景物異。唯有月同明。</text>
<title>大將臺</title>,<text>曠野人烟杳。孤城遠客來。山河千里遠。眼界四望開。日落長天外。風寒大將臺。朝宗滄海近。極目更徘徊。</text>
<title>過李甲山林庄</title>,<text>福地何蕭爽。幽人卜築宜。閑雲時出峀。曲水細通池。洞裏烟霞富。山中日月遲。林泉難再到。欲別更躕踟。</text>
<title>履</title>,<text>此物元非俗。何人織縷成。累經東郭曳。耻作尙書聲。立雪偏知暖。穿雲自覺輕。毗盧花爛熳。與爾暮春行。</text>
<title>曉行</title>,<text>暮入孤山裏。懸燈獨客眠。僕夫催曉飯。征馬困吟鞭。遠寺明殘火。幽林咽暗泉。春泥深沒膝。曙色又蒼然。</text>
<title>奉別申使君 最 狼川之行</title>,<text>誰遣銅符佩。曾將彩筆簪。浮雲時事改。斜日別懷深。古峽蒼烟合。高齋白雪吟。遙知明月夜。閑坐獨鳴琴。又鳳闕巢痕掃。狼山邑治殘。折腰元亮米。追躅葛洪丹。峽束靑天小。巖排古樹攢。紅塵隔幾許。高臥郡齋寒。又幾年叨問字。今日罷論文。曉漏螭頭隔。春風馬首分。離亭一樽酒。客路萬重雲。別後如相憶。金聲且遣聞。</text>
<title>七月初三日</title>,<text>寂寂書齋夜。悠悠客意驚。碧窓淸露滴。玉宇淡河明。病葉蕭蕭響。寒蛩咽咽聲。已驚秋氣色。人自不平鳴。</text>
<title>閑詠</title>,<text>寂寂幽齋晩。携筇獨自行。前林殘照斂。遠峀暮烟生。山月千秋色。松風太古聲。會心還在此。長嘯劃然淸。</text>
<title>古津江</title>,<text>古渡淸樽會。居然十四秋。石橋芳草岸。春日大川流。物色還今夕。行裝記昔遊。京華消息斷。天末更回頭。</text>
<title>庚申夜。次軒翁韻。</title>,<text>兀坐當庚夜。流光惜暮年。六根初凈後。萬感未萌前。雪映靑燈冷。風催玉漏傳。非關虫訴過。淸極自無眠。</text>
<title>除夜陪軒翁聯句</title>,<text>守歲吾今老。通宵爾莫辭。軒翁。 靑燈寒照壁。綠酒細傳巵。勉卿。 節序兒童喜。光陰鬢髮知。軒翁。 緇帷今夕會。留與百年期。勉卿。</text>
<title>見李君實 世華 書</title>,<text>塞雲昏漠漠。關樹遠重重。謫去家千里。秋來書一封。每思江上別。只有夢中逢。幾日蒙恩澤。歸聽長樂鐘。</text>
<title>次人韻</title>,<text>役役百年內。人生可奈勞。風塵多白眼。日月競霜毛。拙宦抽簪早。空齋伏枕高。聖朝無棄物。不必詠離騷。又曲肱咻衆楚。刺股陋蘇秦。禮法寧吾輩。淸談自可人。廟堂眞有策。邊塞靜無塵。杞國緣何事。殷憂亦小臣。又世人皆笑我。宜古不宜今。一曲廣陵散。平生梁甫吟。白雲無俗態。明月自知心。綠酒有何好。有時連日斟。又綠酒有何好。有時連日斟。自陶無事趣。能泯不平心。五柳先生宅。一張榮啓琴。此時微此物。無以發淸吟。又一枕供高臥。蓬門少客開。遣閒書萬卷。通道酒三盃。遠抱誰相識。流光逝莫廻。向人雙白眼。阮籍信狂哉。又彩筆隋珠落。華緘明月開。怳如前夕飮。相勸故人盃。浮世朱絃絶。豐城紫氣迴。平生經濟學。懷古意悠哉。</text>
<title>次滄洲韻</title>,<text>偃蹇薇垣客。蹉跎謬筭違。風塵供藥餌。日月掩柴扉。吾道思滄海。高人隱少微。疎狂招積毁。諫草豈全非。又有枕還供卧。無門不遣關。白歸憎俗眼。靑對滿庭山。杖策浮雲變。抽簪盡日閑。逍遙能自適。未覺在人間。</text>
<title>豐沛樓</title>,<text>自作咸關客。先登豐沛樓。地盤王氣大。神護閟宮幽。蘩弱徵天錫。松長認歲遒。小臣今日祝。聖業萬年休。</text>
<title>途中逢雨</title>,<text>漠漠千山雨。悠悠萬里程。澗氷添水滿。嶠日漏雲明。霧樹孤村隱。烟橋匹馬行。故園春色早。歸及百花迎。</text>
<title>甘露湯</title>,<text>滴滴雲間露。微微盞裏通。入氷宜助爽。調蜜更兼融。淸峭伯夷節。和溫柳下風。微醺發長嘯。直欲超蒙鴻。</text>
<title>寄舍弟。兼示申寅伯。</title>,<text>碧溪尋洞遠。黃葉滿山飛。此日雲空在。千年鶴不歸。夕陽催客返。新月映人微。醉裏勤相勸。停杯各把衣。</text>
<title>郊居</title>,<text>小逕無人問。空山信馬行。天盤荒野大。日射小溪明。原穀垂秋實。郊花綴露英。抽簪終底樂。心跡喜雙淸。又梨棗亂成行。村居自一鄕。禾舂翻碓雪。果熟摘林霜。對客呼尊綠。登盤劈蟹黃。平郊延晩眺。日暮見牛羊。</text>
<title>述行</title>,<text>秋天增黯黯。秋雨晩霏霏。畫角靑山響。平郊匹馬飛。關心長路惡。回首片雲歸。縱使身千里。覊䰟不受圍。</text>
<title>曉發九連城</title>,<text>驅馬凌晨發。天寒霜雪繁。山回知有路。樹老認藏村。脉脉思鄕國。悠悠入塞門。君親千里隔。回首欲消䰟。</text>
<title>以搜檢。五作龍灣行。詩以識之。</title>,<text>五踏龍灣路。重逢絶塞春。此行緣拭玉。何日罷搜銀。迢遆愁驅馬。逢迎厭見人。丁寧相識道。何苦往來頻。又幕府曾經歲。關河又見春。憂心長貯火。愁鬢半添銀。扃鐍邊無警。經綸國有人。腐儒多謬筭。枉欲獻君頻。</text>
<title>閑居</title>,<text>天地容高卧。春光又見迴。遣閑時閱卷。多病久拋盃。雪落聲敲竹。月明影印梅。開門無俗客。僧自五臺來。</text>
<title>次歸來亭韻。寄金仲裕。</title>,<text>出郭占仙境。抽簪作退休。逍遙多逸興。觴詠總名流。窓納千峯月。江空一篴秋。人生百年內。臥此更何求。</text>
<title>詠怪石示仲裕</title>,<text>誰道盆涵石。猶疑山映池。芝莖敷燁燁。劒鍔煥差差。露濕枯松滴。烟含細草垂。楊公袖中攫。天巧較誰奇。</text>
<title>仲裕次池字韻三首來示。詞華翩翩。吟詠之餘。喜而復次。</title>,<text>屋裏翻看峀。窓間忽有池。池光淸㶑灧。峀影落參差。鳥宿疑林著。魚遊避釣垂。古今多怪石。應獨擅瓌奇。</text>
<title>浣花溪</title>,<text>積水元無極。前江忽漲流。雲中纔辨樹。野外不分洲。日月渾疑轉。乾坤儘覺浮。蒼然千里眼。一點見輕鷗。右杜陵觀漲。朝日升滄海。朝霞起遠岑。依微出古洞。搖曳散平林。綺色烟初重。綃光霧乍沉。天台更奇絶。尙憶赤城尋。右白月朝霞。</text>
<title>霖雨</title>,<text>四十仍五十。醒狂轉酒狂。桔槹羞俯仰。流坎信行藏。暮雨千峯暗。淸風一枕凉。誰爭蝸室內。明月夢滄浪。</text>
<title>陪從陵幸</title>,<text>八月靑門道。嚴城候曉開。園陵千騎入。風雨百靈來。佳氣叢霄集。祥雲捧日回。近臣應拜獻。甘露溢金盃。</text>
<title>寄申甥公獻 琓</title>,<text>別後長相憶。人來尺素傳。秋空周杼軸。塵積漢旌旃。戀闕浮雲外。思家綠水邊。高樓明月夜。汀樹對蒼烟。</text>
<title>感秋</title>,<text>床上太玄經。床頭雙玉甁。百年憂與樂。萬事醉還醒。圖畫麒麟遠。形容鬢髮星。重陽今不遠。菊蘂尙垂靑。</text>
<title>贈人</title>,<text>故園千里隔。異域一江分。渡口人初散。山頭日欲曛。霜華迷白草。朔氣接黃雲。何處驚殘夢。嗚嗚畫角聞。</text>
<title>冬夜</title>,<text>朔風撼深屋。積雪滿長安。坐惜歲華暮。臥聽更漏殘。霜侵孤壁冷。書掩一燈寒。賴有寬愁處。樽中酒未乾。</text>
<title>菊</title>,<text>獨與孤松秀。寧從碧蕙摧。何人小庭畔。有意數叢栽。九日蕭條過。今朝爛熳開。最憐傲霜蘂。不摘泛金杯。</text>
<title>春川</title>,<text>複峽開平野。長江控郡居。樓臺占勝槩。扃鐍護儲胥。一面關防地。三韓割據墟。兵機輸白面。愧殺六韜疎。</text>
<title>小雨</title>,<text>庭雨霏霏集。前山稍稍沉。虛簷延鳥宿。破砌濕蛩音。菊蘂凄疎放。楓林灑淺深。中宵獨危坐。萬感奈相侵。</text>
<title>道中</title>,<text>此路遠京城。垂鞭信馬行。川聲流日月。山色變陰晴。高下巖花發。參差谷鳥鳴。風前見起鷺。白水有人耕。</text>
<title>寄再從弟文老 景昌</title>,<text>雪白月逾白。喜君今夜來。談詩不離口。有酒亦盈杯。歲月新正逼。松楸行色催。尊前對窈窕。何遽拂衣廻。</text>
<title>夜詠</title>,<text>悄悄郡齋靜。娟娟新月光。露寒蛩響咽。秋老鴈聲長。事業羞前輩。安危係廟堂。中宵趺坐穩。萬感集中腸。</text>
<title>自嘲</title>,<text>莫言作吏苦。不見入山深。世事容高卧。天機動漫吟。病停鸚鵡酌。書任蠧魚侵。最愛白沙子。能知靜養心。</text>
<title>次舍弟韻</title>,<text>離別今將月。追隨隔此辰。看雲時隱几。漉酒久拋巾。道路關心遠。篇章落手頻。叩門忘折屐。喜有鶴林人。又小閣吟詩坐。前林起暮烟。遙憐一片月。獨照兩心懸。僻邑天連海。離懷日抵年。何當與汝輩。侍側共歡然。</text>
<title>箭門嶺次韻</title>,<text>極目延寒望。蕭條塞鴈稀。江流雙派合。沙磧亂山圍。古戍飢烏集。空城獨鶴飛。休將丈夫淚。浪作楚囚揮。</text>
<title>梳髮</title>,<text>今朝梳短髮。髮短不勝梳。凋落驚心極。鬖髿入手疎。霜毛愁裏出。綠鬢鏡中虛。空切白紛感。還思覆頂初。</text>
<title>晴</title>,<text>洞雲收宿霏。山雨更依依。道路輕泥滑。田疇濁水歸。寒魚依藻密。乾鵲出林飛。信馬仍吟去。天陰欲夕暉。</text>
<title>寄族侄定而 正萬</title>,<text>玉立吾宗秀。淸文我輩稀。談邊空俗子。妙處出天機。得句能驚坐。持盃莫問 缺。早知千里駿。高步自騑騑。</text>
<title>犒軍</title>,<text>五校隨龍駕。千兵列羽林。戈鋋森雪色。旌旆雜雲陰。候應金風肅。天開玉座臨。長楊誰獻賦。寂寞茂陵心。</text>
<title>訛言</title>,<text>宮井深千尺。人傳有怪精。波翻門巷咽。曉斷轆轤聲。黑氣藏鱗甲。紅光射目睛。蛟螭多變化。訛說不須評。</text>
